ID,stop_name,Lon,Lat,Distance_Category,Buffer_Size,Crime_Weight,Degree_Centrality,Betweenness_Centrality,Eigen_Centrality,Closeness_Centrality,Domirank_Centrality
1,Airport,-71.030238,42.374328,Near,473.885341,0.005956106,0.333333333,0.173607355,0.057277351,0.537861531,0.398949085
2,Alewife,-71.142478,42.395426,Far,1152.938712,0.000588798,0,0,0.000882551,0.321631391,0.186373412
3,Allston Street,-71.13801669,42.3487252,Medium,161.4525048,0.014973498,0.333333333,0.200648999,3.63E-07,0.207024608,0.404666271
4,Andrew,-71.057656,42.330153,Medium,285.37661,0.050848668,0.333333333,0.278528935,0.048669609,0.617349098,0.325309907
5,Aquarium,-71.05159,42.359793,Medium,507.0988853,0.047011563,0.333333333,0.227149811,0.385473499,0.71995007,0.333723822
6,Arlington,-71.07096127,42.35182125,Near,358.1854996,0.048758354,0.333333333,0.862628448,0.125841633,0.996814201,0.339669499
7,Ashmont,-71.063744,42.284454,Medium,194.6589017,0.015116683,0,0,0.000414215,0.276421565,0.187893055
8,Assembly,-71.077276,42.392737,Far,158.0246233,0.001307014,0.333333333,0.089237426,0.020283491,0.438931537,0.404529778
9,Babcock Street,-71.12183062,42.35184066,Far,173.8586781,0.031834826,0.333333333,0.303407247,1.64E-05,0.387026995,0.404559016
10,Back Bay,-71.075566,42.347403,Medium,554.649183,0.043078308,0.333333333,0.200648999,0.047192912,0.601245023,0.397668601
11,Back of the Hill,-71.11100533,42.32943019,Medium,53.15096102,0.028651827,0.333333333,0.030286641,4.08E-06,0.208560282,0.465839581
12,Beachmont,-70.992505,42.397202,Far,239.3961548,0.000635715,0.333333333,0.06003245,0.001260476,0.2837845,0.387440493
13,Beaconsfield,-71.14058364,42.33580371,Medium,610.1497408,0.002324653,0.333333333,0.227149811,0.000110685,0.468471034,0.403607169
14,Blandford Street,-71.10009323,42.34922874,Medium,242.1986282,0.009979581,0.333333333,0.441319632,0.005013165,0.824427101,0.237733073
15,Boston College,-71.16696675,42.34020153,Far,542.1188469,0.001788076,0,0,0,0,0.186406802
16,Boston University Central,-71.1071882,42.35007803,Medium,252.6678487,0.005763009,0.333333333,0.397512169,0.000744905,0.647114655,0.391539509
17,Boston University East,-71.10431551,42.34972697,Medium,198.0553929,0.006503703,0.333333333,0.419686317,0.001932442,0.730770272,0.451409767
18,Boston University West,-71.11336671,42.35082318,Far,254.6795754,0.003726765,0.333333333,0.374797188,0.000287141,0.572003132,0.408300358
19,Bowdoin,-71.062038,42.361365,Near,150.9797138,0.064887974,0,0,0.330620501,0.741775751,0.111415605
20,Boylston,-71.0645968,42.3529858,Medium,244.8784434,0.115137827,0.333333333,0.861546782,0.317319542,0.990481614,0.352883515
21,Braintree,-71.001234,42.207267,Far,578.2650982,0.000219002,0,0,0.000159659,0.231544362,0.185993761
22,Brandon Hall,-71.12883419,42.34002244,Far,151.7853708,0.002807452,0.333333333,0.173607355,1.64E-05,0.347742866,0.404453441
23,Brigham Circle,-71.10436652,42.3343322,Medium,179.3517039,0.034300943,0.333333333,0.146024878,0.000189127,0.418497579,0.405158783
24,Broadway,-71.056946,42.342573,Near,212.9916882,0.027033141,0.333333333,0.303407247,0.122986935,0.707203872,0.449782076
25,Brookline Hills,-71.12645639,42.33128544,Far,662.8857942,0.002591082,0.333333333,0.253109789,0.000287141,0.539440333,0.408302546
26,Brookline Village,-71.11690393,42.33258766,Far,477.5365603,0.004082724,0.333333333,0.278528935,0.000744905,0.619166181,0.391538906
27,Central,-71.103591,42.365325,Far,920.0304226,0.002396462,0.333333333,0.117901568,0.046945258,0.617349098,0.397454587
28,Charles/MGH,-71.070525,42.361137,Medium,667.1124026,0.029102439,0.333333333,0.173607355,0.315960952,0.83966574,0.330502339
29,Chestnut Hill,-71.16461742,42.32675787,Far,1238.168174,0.001029558,0.333333333,0.173607355,1.64E-05,0.347742866,0.404453441
30,Chestnut Hill Avenue,-71.15288409,42.33835138,Near,178.6497201,0.02947926,0.333333333,0.06003245,2.69E-09,0.049097558,0.387474829
31,Chinatown,-71.062396,42.352638,Near,115.7256046,0.495322717,0.333333333,0.253109789,0.317605344,0.802183604,0.315504338
32,Chiswick Road,-71.15099675,42.34059152,Near,188.470667,0.011334974,0.333333333,0.089237426,7.62E-09,0.076267084,0.40944934
33,Cleveland Circle,-71.14899951,42.33623061,Medium,188.9988736,0.034592071,0,0,4.55E-08,0.098023525,0.186406766
34,Community College,-71.069684,42.37368,Medium,502.0314979,0.004967267,0.333333333,0.146024878,0.136571702,0.597726256,0.342394094
35,Coolidge Corner,-71.12130073,42.34216468,Far,238.2088658,0.003220843,0.333333333,0.227149811,0.000110685,0.468471034,0.403607169
36,Copley,-71.07740165,42.35007244,Medium,383.9830546,1,0.666666667,1,0.057648945,1,0.706420093
37,Davis,-71.121816,42.396748,Far,682.5089062,0.000700257,0.333333333,0.030286641,0.002629726,0.38236513,0.46596712
38,Dean Road,-71.14196716,42.33772891,Medium,200.3648394,0.002768689,0.333333333,0.06003245,3.62E-07,0.1670883,0.387474403
39,Downtown Crossing,-71.060171,42.354933,Near,180.4960969,0.238226419,1,0.686857761,0.823935591,0.926982245,0.722603092
40,Eliot,-71.21660769,42.31900258,Far,704.6733131,0.000367545,0.333333333,0.089237426,9.41E-07,0.206259086,0.409450878
41,Englewood Avenue,-71.14562033,42.33697749,Medium,196.6263229,0.002930653,0.333333333,0.030286641,1.36E-07,0.131131153,0.465838883
42,Fairbanks Street,-71.13119299,42.33966169,Far,166.7327702,0.002753226,0.333333333,0.146024878,6.34E-06,0.296031584,0.405036329
