OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-28 08:00:00,42.33731437923189,-71.04852327000334,M/V related offenses,08:00:00,AM_PEAK
2022-03-28 08:00:00,42.35332382540209,-71.04573775215997,Theft and Robbery,08:00:00,AM_PEAK
2022-03-28 07:32:00,42.28197795989894,-71.12788625751726,Public Disturbances & Law Enforcement Actions,07:32:00,AM_PEAK
2022-03-28 07:55:00,42.277431042387065,-71.11458199473736,M/V related offenses,07:55:00,AM_PEAK
2022-03-28 08:22:00,42.35373104308228,-71.07548928859407,M/V related offenses,08:22:00,AM_PEAK
2022-03-28 08:15:00,42.29755532959655,-71.05970910242574,Vandalism and Disorderly Conduct,08:15:00,AM_PEAK
2022-03-28 08:00:00,42.33215752006336,-71.04336002006727,M/V related offenses,08:00:00,AM_PEAK
2022-03-28 08:50:00,42.31759266016733,-71.04000118468181,Public Disturbances & Law Enforcement Actions,08:50:00,AM_PEAK
2022-03-28 08:56:00,42.27242131494865,-71.0739564819727,Public Disturbances & Law Enforcement Actions,08:56:00,AM_PEAK
2022-03-28 08:30:00,42.33930415714226,-71.05160423007139,M/V related offenses,08:30:00,AM_PEAK
2022-03-28 08:49:00,42.278671037578455,-71.09670104479066,M/V related offenses,08:49:00,AM_PEAK
2022-03-28 08:41:00,42.319885974297726,-71.06256299793715,M/V related offenses,08:41:00,AM_PEAK
2022-03-28 07:19:00,42.38550717290303,-71.02222794909207,M/V related offenses,07:19:00,AM_PEAK
2022-03-23 08:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:00:00,AM_PEAK
2022-03-24 08:39:00,42.330569767096144,-71.09959089429971,Drugs and Alcohol,08:39:00,AM_PEAK
2022-03-24 08:07:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:07:00,AM_PEAK
2022-03-24 08:41:00,42.358164311954496,-71.06740395162844,M/V related offenses,08:41:00,AM_PEAK
2022-03-24 07:27:00,42.32715204164585,-71.08728404959345,M/V related offenses,07:27:00,AM_PEAK
2022-03-24 07:40:00,42.2901178327599,-71.12187903737585,Assault and Violence,07:40:00,AM_PEAK
2022-03-22 07:36:00,42.34905600030506,-71.15049849975023,Assault and Violence,07:36:00,AM_PEAK
2022-03-21 08:55:00,42.32525552607211,-71.09365253563644,M/V related offenses,08:55:00,AM_PEAK
2022-03-23 08:00:00,42.33815268405198,-71.14955832306063,Public Disturbances & Law Enforcement Actions,08:00:00,AM_PEAK
2022-02-09 08:30:00,42.26344950187252,-71.15490700397106,Public Disturbances & Law Enforcement Actions,08:30:00,AM_PEAK
2022-03-23 07:40:00,42.303709249674334,-71.08313459328902,M/V related offenses,07:40:00,AM_PEAK
2022-03-23 07:45:00,42.35590084030965,-71.07058043339916,Public Disturbances & Law Enforcement Actions,07:45:00,AM_PEAK
2022-03-23 07:00:00,42.28671034097758,-71.10822887556456,M/V related offenses,07:00:00,AM_PEAK
2022-03-22 07:30:00,42.3708180467024,-71.03929078135145,Public Disturbances & Law Enforcement Actions,07:30:00,AM_PEAK
2022-02-02 08:00:00,42.34905600030506,-71.15049849975023,Assault and Violence,08:00:00,AM_PEAK
2022-03-22 08:41:00,42.390136332734784,-71.00295655814823,M/V related offenses,08:41:00,AM_PEAK
2022-03-22 08:52:00,42.36780297149182,-71.03943328320705,Drugs and Alcohol,08:52:00,AM_PEAK
2022-03-22 07:32:00,42.33270998123249,-71.08502500499709,M/V related offenses,07:32:00,AM_PEAK
2022-03-22 07:12:00,42.304804882391096,-71.06421426056988,Theft and Robbery,07:12:00,AM_PEAK
2022-03-22 08:30:00,42.309718567672746,-71.10429431787648,Public Disturbances & Law Enforcement Actions,08:30:00,AM_PEAK
2022-03-16 07:30:00,42.33954198983014,-71.06940876967543,Vandalism and Disorderly Conduct,07:30:00,AM_PEAK
2022-03-18 08:00:00,42.309718567672746,-71.10429431787648,M/V related offenses,08:00:00,AM_PEAK
2022-03-21 08:49:00,42.29017432140568,-71.08808524853369,M/V related offenses,08:49:00,AM_PEAK
2022-03-21 08:29:00,42.37490831477063,-71.0617101230599,M/V related offenses,08:29:00,AM_PEAK
2022-03-21 08:53:00,42.35724324185108,-71.058496716531,Vandalism and Disorderly Conduct,08:53:00,AM_PEAK
2022-03-21 08:39:00,42.36958090498956,-71.03931443482647,Drugs and Alcohol,08:39:00,AM_PEAK
2022-03-21 08:13:00,42.33660237276917,-71.04935734662847,M/V related offenses,08:13:00,AM_PEAK
2022-03-21 07:35:00,42.25114036596927,-71.1422992249418,Public Disturbances & Law Enforcement Actions,07:35:00,AM_PEAK
2022-03-21 07:40:00,42.37548425241639,-71.0687276624078,M/V related offenses,07:40:00,AM_PEAK
2022-03-21 08:05:00,42.31052866209247,-71.08671835222847,Vandalism and Disorderly Conduct,08:05:00,AM_PEAK
2022-03-21 07:52:00,42.33138383718933,-71.09734803983105,M/V related offenses,07:52:00,AM_PEAK
2022-03-21 08:09:00,42.32639844264636,-71.11152626308467,Public Disturbances & Law Enforcement Actions,08:09:00,AM_PEAK
2022-03-21 07:34:00,42.32037671039494,-71.07903446612556,Public Disturbances & Law Enforcement Actions,07:34:00,AM_PEAK
2022-03-21 07:35:00,42.276476008063824,-71.0925690522971,M/V related offenses,07:35:00,AM_PEAK
2022-03-18 08:40:00,42.33490995608385,-71.07517004893332,M/V related offenses,08:40:00,AM_PEAK
2022-03-18 07:22:00,42.34966795802786,-71.13995527257794,M/V related offenses,07:22:00,AM_PEAK
2022-03-18 07:46:00,42.3317805323373,-71.04941450520697,M/V related offenses,07:46:00,AM_PEAK
2022-03-18 08:37:00,42.37196094189775,-71.06217021233844,M/V related offenses,08:37:00,AM_PEAK
2022-03-18 07:52:00,42.28537375976607,-71.12928626406769,Public Disturbances & Law Enforcement Actions,07:52:00,AM_PEAK
2022-03-18 08:18:00,42.3708180467024,-71.03929078135145,M/V related offenses,08:18:00,AM_PEAK
2022-03-18 07:49:00,42.274501745088045,-71.09042183230767,Drugs and Alcohol,07:49:00,AM_PEAK
2022-03-18 08:55:00,42.30470399216786,-71.05908258402556,Theft and Robbery,08:55:00,AM_PEAK
2022-03-18 08:05:00,42.300605433190384,-71.06126784500744,M/V related offenses,08:05:00,AM_PEAK
2022-03-18 07:30:00,42.38305084341525,-71.01735360022911,M/V related offenses,07:30:00,AM_PEAK
2022-03-18 08:02:00,42.37879415963437,-71.06685943138322,M/V related offenses,08:02:00,AM_PEAK
2022-03-18 07:10:00,42.326282006749246,-71.09787894244505,M/V related offenses,07:10:00,AM_PEAK
2022-03-15 08:30:00,42.294173456953246,-71.07193796811559,M/V related offenses,08:30:00,AM_PEAK
2022-03-17 08:21:00,42.34837984014612,-71.09287027617528,Public Disturbances & Law Enforcement Actions,08:21:00,AM_PEAK
2022-03-17 08:50:00,42.33503480952617,-71.08240248062698,Public Disturbances & Law Enforcement Actions,08:50:00,AM_PEAK
2022-03-17 08:14:00,42.3353740984913,-71.07831560233991,M/V related offenses,08:14:00,AM_PEAK
2022-03-17 07:35:00,42.28772575704935,-71.08592336894766,M/V related offenses,07:35:00,AM_PEAK
2022-03-07 08:00:00,42.33954198983014,-71.06940876967543,Theft and Robbery,08:00:00,AM_PEAK
2022-03-17 07:11:00,42.30421671494094,-71.05936906127737,Drugs and Alcohol,07:11:00,AM_PEAK
2022-03-16 08:30:00,42.33138383718933,-71.09734803983105,M/V related offenses,08:30:00,AM_PEAK
2022-03-16 07:48:00,42.336910990928345,-71.03546306574735,Drugs and Alcohol,07:48:00,AM_PEAK
2022-03-16 08:10:00,42.3315214827848,-71.07085306594259,Vandalism and Disorderly Conduct,08:10:00,AM_PEAK
2022-03-16 08:21:00,42.374794506784056,-71.06600871043159,Public Disturbances & Law Enforcement Actions,08:21:00,AM_PEAK
2022-03-16 07:25:00,42.38259066544035,-71.03769465495989,Assault and Violence,07:25:00,AM_PEAK
2022-03-16 07:33:00,42.35393998160168,-71.07802991620524,Drugs and Alcohol,07:33:00,AM_PEAK
2022-03-16 08:01:00,42.315791957269134,-71.09829603081981,M/V related offenses,08:01:00,AM_PEAK
2022-03-16 07:24:00,42.29504819063536,-71.06688958003706,M/V related offenses,07:24:00,AM_PEAK
2022-03-15 07:30:00,42.287093552591074,-71.14822128377166,Public Disturbances & Law Enforcement Actions,07:30:00,AM_PEAK
2022-03-15 07:45:00,42.287093552591074,-71.14822128377166,M/V related offenses,07:45:00,AM_PEAK
2022-03-15 07:30:00,42.28197795989894,-71.12788625751726,Public Disturbances & Law Enforcement Actions,07:30:00,AM_PEAK
2022-03-15 08:09:00,42.35174282139771,-71.06275940040132,Drugs and Alcohol,08:09:00,AM_PEAK
2022-03-15 08:14:00,42.34439568415443,-71.08632016344815,Theft and Robbery,08:14:00,AM_PEAK
2022-03-15 08:54:00,42.32270922185721,-71.09932316830728,Drugs and Alcohol,08:54:00,AM_PEAK
2022-03-15 08:40:00,42.3569780064074,-71.05874398489806,M/V related offenses,08:40:00,AM_PEAK
2022-03-15 08:47:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:47:00,AM_PEAK
2022-03-15 08:16:00,42.35231189676638,-71.06370510095782,Theft and Robbery,08:16:00,AM_PEAK
2022-03-15 07:46:00,42.34999732725388,-71.08103440327558,Theft and Robbery,07:46:00,AM_PEAK
2022-03-15 08:04:00,42.34905600030506,-71.15049849975023,M/V related offenses,08:04:00,AM_PEAK
2022-03-15 08:31:00,42.29360584918816,-71.07188650281905,M/V related offenses,08:31:00,AM_PEAK
2022-03-15 07:39:00,42.26886965956429,-71.1180256580887,M/V related offenses,07:39:00,AM_PEAK
2022-03-15 07:15:00,42.34905600030506,-71.15049849975023,M/V related offenses,07:15:00,AM_PEAK
2022-03-14 08:00:00,42.27504456080725,-71.06731309631608,Public Disturbances & Law Enforcement Actions,08:00:00,AM_PEAK
2022-03-14 07:00:00,42.3249687824237,-71.08238344141344,M/V related offenses,07:00:00,AM_PEAK
2022-03-14 07:47:00,42.33295170355648,-71.0854454816721,M/V related offenses,07:47:00,AM_PEAK
2022-03-14 08:03:00,42.35693030338516,-71.06005008434349,Vandalism and Disorderly Conduct,08:03:00,AM_PEAK
2022-03-14 08:48:00,42.35245869483701,-71.13762608003351,Drugs and Alcohol,08:48:00,AM_PEAK
2022-03-14 08:19:00,42.37296899215636,-71.0619599417236,M/V related offenses,08:19:00,AM_PEAK
2022-03-14 08:14:00,42.2843981982829,-71.06468373288614,Assault and Violence,08:14:00,AM_PEAK
2022-03-14 07:52:00,42.3280996604115,-71.06321676048991,Theft and Robbery,07:52:00,AM_PEAK
2022-03-14 08:07:00,42.274701192734646,-71.09344053269572,Drugs and Alcohol,08:07:00,AM_PEAK
2022-03-14 08:19:00,42.31052567210178,-71.05107134522021,Public Disturbances & Law Enforcement Actions,08:19:00,AM_PEAK
2022-03-14 08:31:00,42.317354717107904,-71.06582970165482,M/V related offenses,08:31:00,AM_PEAK
2022-03-14 07:42:00,42.32591398384575,-71.08367201436467,M/V related offenses,07:42:00,AM_PEAK
2022-03-11 08:59:00,42.35892278751083,-71.05835354440549,Assault and Violence,08:59:00,AM_PEAK
2022-03-08 08:00:00,42.296933907049706,-71.0806657644263,Public Disturbances & Law Enforcement Actions,08:00:00,AM_PEAK
2022-03-11 08:05:00,42.3520227475632,-71.05931999920402,M/V related offenses,08:05:00,AM_PEAK
2022-03-11 08:44:00,42.34903470726637,-71.14991349146773,Firearms and Weapons,08:44:00,AM_PEAK
2022-03-11 08:39:00,42.335621261539046,-71.07582360570268,Theft and Robbery,08:39:00,AM_PEAK
2022-03-11 07:17:00,42.38197360311822,-71.03768921868063,M/V related offenses,07:17:00,AM_PEAK
2022-03-10 08:00:00,42.29755532959655,-71.05970910242574,Public Disturbances & Law Enforcement Actions,08:00:00,AM_PEAK
2022-03-11 08:17:00,42.30947615323506,-71.0580008807701,M/V related offenses,08:17:00,AM_PEAK
2022-03-11 08:03:00,42.302736070979314,-71.08248543959975,M/V related offenses,08:03:00,AM_PEAK
2022-03-11 07:50:00,42.32283758702995,-71.10096722512631,Drugs and Alcohol,07:50:00,AM_PEAK
2022-03-11 08:00:00,42.30952502096375,-71.08261803437945,M/V related offenses,08:00:00,AM_PEAK
2022-03-11 07:14:00,42.30234412284505,-71.07630370366292,Drugs and Alcohol,07:14:00,AM_PEAK
2022-03-11 07:14:00,42.3312377558529,-71.09140736221293,M/V related offenses,07:14:00,AM_PEAK
2022-03-09 07:00:00,42.32599863176978,-71.09318420287359,M/V related offenses,07:00:00,AM_PEAK
2022-03-10 08:00:00,42.25621592040216,-71.12401947329023,Public Disturbances & Law Enforcement Actions,08:00:00,AM_PEAK
2022-03-10 07:57:00,42.36484926206193,-71.05736027746894,Theft and Robbery,07:57:00,AM_PEAK
2022-03-10 08:40:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:40:00,AM_PEAK
2022-03-10 08:57:00,42.35007201094764,-71.13202925984096,M/V related offenses,08:57:00,AM_PEAK
2022-03-10 07:25:00,42.33045996490805,-71.05529005497458,M/V related offenses,07:25:00,AM_PEAK
2022-03-10 08:02:00,42.28610123154238,-71.06188047071433,M/V related offenses,08:02:00,AM_PEAK
2022-03-10 07:16:00,42.30358611632514,-71.06437082379345,Theft and Robbery,07:16:00,AM_PEAK
2022-03-10 08:18:00,42.28482576580488,-71.09137368938802,M/V related offenses,08:18:00,AM_PEAK
2022-03-10 08:34:00,42.28482576580488,-71.09137368938802,Public Disturbances & Law Enforcement Actions,08:34:00,AM_PEAK
2022-03-10 07:39:00,42.34880461103738,-71.09392553638644,M/V related offenses,07:39:00,AM_PEAK
2022-03-10 07:55:00,42.35034269234086,-71.13038206644045,Vandalism and Disorderly Conduct,07:55:00,AM_PEAK
2022-03-10 08:11:00,42.333129974776405,-71.03530596097923,M/V related offenses,08:11:00,AM_PEAK
2022-03-10 07:04:00,42.33848235928048,-71.15288977776044,M/V related offenses,07:04:00,AM_PEAK
2022-03-07 07:30:00,42.25621592040216,-71.12401947329023,M/V related offenses,07:30:00,AM_PEAK
2022-03-09 08:24:00,42.28891529987296,-71.1149730314402,Public Disturbances & Law Enforcement Actions,08:24:00,AM_PEAK
2022-03-09 07:00:00,42.37663166813234,-71.05593195497872,Public Disturbances & Law Enforcement Actions,07:00:00,AM_PEAK
2022-03-09 08:30:00,42.37573622619756,-71.05813797275842,M/V related offenses,08:30:00,AM_PEAK
2022-03-09 08:50:00,42.318910980965406,-71.05536318728505,M/V related offenses,08:50:00,AM_PEAK
2022-03-09 08:09:00,42.32572097108879,-71.08220071492579,M/V related offenses,08:09:00,AM_PEAK
2022-03-09 07:49:00,42.30876948531946,-71.11879823765683,M/V related offenses,07:49:00,AM_PEAK
2022-03-08 07:30:00,42.25621592040216,-71.12401947329023,Public Disturbances & Law Enforcement Actions,07:30:00,AM_PEAK
2022-03-07 08:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:00:00,AM_PEAK
2022-03-08 07:57:00,42.35420018199599,-71.06185183661113,Drugs and Alcohol,07:57:00,AM_PEAK
2022-03-08 08:10:00,42.29755532959655,-71.05970910242574,Public Disturbances & Law Enforcement Actions,08:10:00,AM_PEAK
2022-03-08 07:33:00,42.31748189041453,-71.06450703619905,M/V related offenses,07:33:00,AM_PEAK
2022-03-08 07:25:00,42.324299730203,-71.07034883950759,Public Disturbances & Law Enforcement Actions,07:25:00,AM_PEAK
2022-03-08 07:02:00,42.27803895741204,-71.11534303688389,M/V related offenses,07:02:00,AM_PEAK
2022-03-07 07:01:00,42.2764171035776,-71.16248814243656,Public Disturbances & Law Enforcement Actions,07:01:00,AM_PEAK
2022-03-07 08:56:00,42.31139893257613,-71.09780892523263,Firearms and Weapons,08:56:00,AM_PEAK
2022-03-07 08:54:00,42.30985599549868,-71.09215300768656,Public Disturbances & Law Enforcement Actions,08:54:00,AM_PEAK
2022-03-07 08:56:00,42.31139893257613,-71.09780892523263,Public Disturbances & Law Enforcement Actions,08:56:00,AM_PEAK
2022-03-07 08:30:00,42.29638695483996,-71.08047097959776,M/V related offenses,08:30:00,AM_PEAK
2022-03-07 08:37:00,42.3206027679275,-71.07527755146313,M/V related offenses,08:37:00,AM_PEAK
2022-03-07 08:31:00,42.34128750439044,-71.05467932649397,M/V related offenses,08:31:00,AM_PEAK
2022-03-07 07:24:00,42.28482576580488,-71.09137368938802,M/V related offenses,07:24:00,AM_PEAK
2022-03-04 08:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,08:00:00,AM_PEAK
2022-03-04 07:54:00,42.36183856656472,-71.05976489094158,Firearms and Weapons,07:54:00,AM_PEAK
2022-03-04 08:21:00,42.34935467622645,-71.06755759972306,M/V related offenses,08:21:00,AM_PEAK
2022-03-04 08:33:00,42.31106940582736,-71.05848025414325,M/V related offenses,08:33:00,AM_PEAK
2022-03-03 08:44:00,42.29547747848388,-71.06365818669454,M/V related offenses,08:44:00,AM_PEAK
2022-03-04 08:48:00,42.34657496862653,-71.07438649690918,Theft and Robbery,08:48:00,AM_PEAK
2022-03-04 07:21:00,42.31569724179008,-71.06447109467098,Public Disturbances & Law Enforcement Actions,07:21:00,AM_PEAK
