OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-28 18:00:00,42.31508518034225,-71.08508813271443,M/V related offenses,18:00:00,PM_PEAK
2022-03-28 18:05:00,42.380204747487696,-71.05741400352045,Public Disturbances & Law Enforcement Actions,18:05:00,PM_PEAK
2022-03-28 16:00:00,42.25621592040216,-71.12401947329023,Public Disturbances & Law Enforcement Actions,16:00:00,PM_PEAK
2022-03-28 17:38:00,42.33663401358884,-71.027200988059,M/V related offenses,17:38:00,PM_PEAK
2022-03-28 18:26:00,42.28582356051368,-71.09104328088189,Assault and Violence,18:26:00,PM_PEAK
2022-03-28 18:12:00,42.281432620341626,-71.15801301245642,Theft and Robbery,18:12:00,PM_PEAK
2022-03-28 18:16:00,42.364343026174296,-71.05987600796638,Assault and Violence,18:16:00,PM_PEAK
2022-03-28 18:00:00,42.3104339974624,-71.06134009762133,Firearms and Weapons,18:00:00,PM_PEAK
2022-03-28 17:56:00,42.34905600030506,-71.15049849975023,Public Disturbances & Law Enforcement Actions,17:56:00,PM_PEAK
2022-03-28 17:10:00,42.33180002453435,-71.09714000784146,Theft and Robbery,17:10:00,PM_PEAK
2022-03-25 18:00:00,42.31449246512733,-71.08699086795849,M/V related offenses,18:00:00,PM_PEAK
2022-03-28 17:31:00,42.27222807962702,-71.0700614903142,M/V related offenses,17:31:00,PM_PEAK
2022-03-28 16:16:00,42.37724638479816,-71.0325970804128,Drugs and Alcohol,16:16:00,PM_PEAK
2022-03-28 17:21:00,42.3104339974624,-71.06134009762133,Drugs and Alcohol,17:21:00,PM_PEAK
2022-03-28 16:32:00,42.325033032198746,-71.0691570479584,M/V related offenses,16:32:00,PM_PEAK
2022-03-28 16:45:00,42.29234068370162,-71.04803995551819,M/V related offenses,16:45:00,PM_PEAK
2022-03-28 16:45:00,42.283789009134274,-71.07666404523773,M/V related offenses,16:45:00,PM_PEAK
2022-03-28 16:02:00,42.3321084294949,-71.07014394813552,Public Disturbances & Law Enforcement Actions,16:02:00,PM_PEAK
2022-03-23 16:00:00,42.34905600030506,-71.15049849975023,Vandalism and Disorderly Conduct,16:00:00,PM_PEAK
2022-03-25 16:00:00,42.3321084294949,-71.07014394813552,Theft and Robbery,16:00:00,PM_PEAK
2022-03-11 18:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,18:00:00,PM_PEAK
2022-03-04 16:20:00,42.33954198983014,-71.06940876967543,Assault and Violence,16:20:00,PM_PEAK
2022-03-25 16:00:00,42.3708180467024,-71.03929078135145,M/V related offenses,16:00:00,PM_PEAK
