ID,Station_Name,Lat,Lon,DomiRank,Betweenness,Eigenvector,D_nearest_police,D_nearest_fire,D_nearest_hospital,D_police_fire,Population_Density,Average_Ridership,Defense_Posture,Threat_Level,Crime_Index,Attractiveness,D_nearest_police_name,D_nearest_fire_name,D_nearest_hospital_name
1,Airport,42.374328,-71.030238,0.3989490850421705,0.1736073553272038,0.0572761059106778,0.0599183577746997,0.1021835192907976,0.4434147693625814,0.0723027778191048,0.2260763832289229,0.0427270198859685,High,Medium,0.0652665246148403,0.0649432693505283,Mass State Police Patrol,360 Saratoga St,Shriners Burns Institute
2,Alewife,42.395426,-71.142478,0.1863734117148368,0.0,0.0008826706907517,0.2959772515738481,0.4897257964165518,0.5702181007219626,0.352748911168959,0.2599056920277238,0.0076484494507022,Low,Low,0.0166519411497671,0.107848144187298,Tufts University Police Department,460 Cambridge St,St. Elizabeth's Hospital
3,Allston Street,42.3487252,-71.13801669,0.4046662711508628,0.2006489994591671,8.706727295707599e-07,0.0792779719895345,0.0921635657757431,0.0641592223468192,0.083053672832632,0.3443461255428207,0.0022481805961155,Medium,Medium,0.1031762420382158,0.0820910741342038,Boston Police District D-14 Brighton/ Allston,460 Cambridge St,Kindred Hospital
4,Andrew,42.330153,-71.057656,0.3253099074177688,0.2785289345592212,0.0486717964626916,0.1265161342333033,0.0915656423660185,0.1509073355424798,0.1162750383397466,0.2278837371829419,0.0369327399990729,Medium,Medium,0.1142713109014978,0.132926314828248,Municipal Police, ,Boston City Hospital
5,Aquarium,42.359793,-71.05159,0.3337238222959849,0.227149810708491,0.3854716328705933,0.0717564804432425,0.05018919084821,0.131652639006136,0.0654368932470011,0.3072214387160197,0.0545937050943308,High,High,0.2051297466652117,0.1586034693005055,Boston Police District A-1,125 Purchase St,Spaulding Rehabilitation Hospital
6,Arlington,42.35182125,-71.07096127,0.3396694990334094,0.8626284478096269,0.1258888574162576,0.0352585947863304,0.0302849343762006,0.0748429762999735,0.0338012266498378,0.2087268115951994,0.0461108793399156,High,High,0.2096640246353935,0.1214699214372771,Emerson College Police Department,200 Columbus Ave,New England Medical Center
7,Ashmont,42.284454,-71.063744,0.1878930553621864,0.0,0.0004145804913004,0.1369969732280925,0.034588618842393,0.0557725503042826,0.1069895621293383,0.1441210008213037,0.007439855374774,Medium,Medium,0.100521786097993,0.0781285444366131,Boston Police District C-11 Dorchester,1884 Dorchester Av,Carney Hospital
8,Assembly,42.392737,-71.077276,0.4045297776289885,0.0892374256354785,0.0202821302179156,0.2181730903121312,0.1352587629123796,0.4240655751130823,0.1938777647677879,0.143710027936835,0.0157604412923561,Low,Low,0.0033285910505255,0.0638424659432599,Somerville Police Department,525 Main St,Spaulding Rehabilitation Hospital
9,Babcock Street,42.35184066,-71.12183062,0.4045590161026517,0.3034072471606273,1.9452443934244928e-05,0.0255509384458662,0.099468992480109,0.1757051104363274,0.0472102009965706,0.2448696304475793,0.0050989663004681,High,Medium,0.088358867081233,0.034404840424125,Boston University Police Department,460 Cambridge St,Beth Israel Deaconess Medical Center West Cam
10,Back Bay,42.347403,-71.075566,0.3976686007546388,0.2006489994591671,0.047193413173888,0.0498889695050898,0.0653623499223609,0.1112938941877606,0.0544229363875154,0.2418649082478838,0.0354030501089324,High,High,0.2150999130520442,0.1209790496606533,Amtrak Police Department,200 Columbus Ave,New England Medical Center
