OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-28 20:30:00,42.34128750439044,-71.05467932649397,M/V related offenses,20:30:00,EVENING
2022-03-28 19:45:00,42.33611199552338,-71.04665434223368,Public Disturbances & Law Enforcement Actions,19:45:00,EVENING
2022-03-28 21:40:00,42.351705713874026,-71.11989955508469,Vandalism and Disorderly Conduct,21:40:00,EVENING
2022-03-28 21:03:00,42.34255919133471,-71.06270823776893,Drugs and Alcohol,21:03:00,EVENING
2022-03-28 20:00:00,42.29755532959655,-71.05970910242574,Public Disturbances & Law Enforcement Actions,20:00:00,EVENING
2022-03-28 20:30:00,42.36058946609475,-71.06510340441875,M/V related offenses,20:30:00,EVENING
2022-03-28 21:12:00,42.32903759830781,-71.05694505111319,Public Disturbances & Law Enforcement Actions,21:12:00,EVENING
2022-03-28 19:58:00,42.3002802831252,-71.06015261427551,Drugs and Alcohol,19:58:00,EVENING
2022-03-28 19:48:00,42.25332978505517,-71.12467151894641,Theft and Robbery,19:48:00,EVENING
2022-03-28 20:00:00,42.28421999685168,-71.09136000777414,Assault and Violence,20:00:00,EVENING
2022-03-28 19:31:00,42.30803768051951,-71.08359213073199,M/V related offenses,19:31:00,EVENING
2022-03-28 19:57:00,42.321976698574375,-71.10908315523959,Theft and Robbery,19:57:00,EVENING
2022-03-28 18:54:00,42.26591496693503,-71.12107001830506,Drugs and Alcohol,18:54:00,EVENING
2022-03-28 19:17:00,42.33091639708704,-71.06415105771896,Assault and Violence,19:17:00,EVENING
2022-03-25 19:30:00,42.34128750439044,-71.05467932649397,Vandalism and Disorderly Conduct,19:30:00,EVENING
2022-03-28 18:40:00,42.3207399642346,-71.07406000215714,Firearms and Weapons,18:40:00,EVENING
2022-03-17 20:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,20:00:00,EVENING
2022-03-25 21:00:00,42.34640381376603,-71.0755128911031,M/V related offenses,21:00:00,EVENING
2022-03-25 21:00:00,42.25947103458332,-71.15077873649265,M/V related offenses,21:00:00,EVENING
2022-03-25 19:00:00,42.26483264615451,-71.1556787678308,Vandalism and Disorderly Conduct,19:00:00,EVENING
2022-03-25 20:00:00,42.287093552591074,-71.14822128377166,M/V related offenses,20:00:00,EVENING
2022-03-25 20:00:00,42.318941246030604,-71.05483548999058,M/V related offenses,20:00:00,EVENING
