OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-02-02 00:00:00,42.343081271341646,-71.14172267328729,Firearms and Weapons,00:00:00,NIGHT
2022-02-11 00:00:00,42.30429914163864,-71.10725969449103,M/V related offenses,00:00:00,NIGHT
2022-03-29 01:35:00,42.2957638038155,-71.08756001916733,Public Disturbances & Law Enforcement Actions,01:35:00,NIGHT
2022-03-29 02:00:00,42.32713820831259,-71.07217960967296,Vandalism and Disorderly Conduct,02:00:00,NIGHT
2022-03-29 01:32:00,42.31858435152544,-71.05673617911884,M/V related offenses,01:32:00,NIGHT
2022-03-29 01:01:00,42.35027600446046,-71.04833730664767,Drugs and Alcohol,01:01:00,NIGHT
2022-03-29 00:00:00,42.30175852716157,-71.07462979750593,M/V related offenses,00:00:00,NIGHT
2022-03-29 00:18:00,42.34581029047472,-71.16253535859647,Drugs and Alcohol,00:18:00,NIGHT
2022-03-29 00:26:00,42.3330710283909,-71.03820613502224,M/V related offenses,00:26:00,NIGHT
2022-03-28 01:00:00,42.28992932270228,-71.05176621310221,Vandalism and Disorderly Conduct,01:00:00,NIGHT
2022-03-28 00:00:00,42.3104339974624,-71.06134009762133,Firearms and Weapons,00:00:00,NIGHT
2022-03-28 00:00:00,42.37935615644509,-71.0300249515891,Theft and Robbery,00:00:00,NIGHT
2022-03-07 00:00:00,42.28482576580488,-71.09137368938802,Vandalism and Disorderly Conduct,00:00:00,NIGHT
2022-03-09 00:00:00,42.29755532959655,-71.05970910242574,Assault and Violence,00:00:00,NIGHT
2022-03-28 00:00:00,42.3119064083471,-71.10213227093176,Public Disturbances & Law Enforcement Actions,00:00:00,NIGHT
2022-03-25 00:00:00,42.33954198983014,-71.06940876967543,Vandalism and Disorderly Conduct,00:00:00,NIGHT
2022-03-28 01:00:00,42.29860932182206,-71.1122370317886,M/V related offenses,01:00:00,NIGHT
2022-03-28 00:01:00,42.30397603393287,-71.10476982384587,M/V related offenses,00:01:00,NIGHT
2022-03-28 00:00:00,42.287093552591074,-71.14822128377166,M/V related offenses,00:00:00,NIGHT
2022-03-28 02:55:00,42.3315214827848,-71.07085306594259,Drugs and Alcohol,02:55:00,NIGHT
2022-03-28 02:46:00,42.34453911223128,-71.07358770006816,Drugs and Alcohol,02:46:00,NIGHT
2022-03-28 02:03:00,42.39003038302344,-71.0708597460445,M/V related offenses,02:03:00,NIGHT
2022-03-28 02:14:00,42.349428641424495,-71.0653664119742,Assault and Violence,02:14:00,NIGHT
2022-03-28 01:13:00,42.30354147818477,-71.09922817207634,M/V related offenses,01:13:00,NIGHT
2022-03-28 00:18:00,42.29969645607308,-71.05715557859268,Drugs and Alcohol,00:18:00,NIGHT
2022-03-28 01:12:00,42.34396895780713,-71.10001303419067,M/V related offenses,01:12:00,NIGHT
2022-03-28 00:00:00,42.3691708099685,-71.03970661706498,Public Disturbances & Law Enforcement Actions,00:00:00,NIGHT
2022-03-22 00:00:00,42.34128750439044,-71.05467932649397,Theft and Robbery,00:00:00,NIGHT
2022-03-23 00:00:00,42.32866283555608,-71.08563401183545,Vandalism and Disorderly Conduct,00:00:00,NIGHT
