ID,Station_Name,Lat,Lon,DomiRank,Betweenness,Eigenvector,D_nearest_police,D_nearest_fire,D_nearest_hospital,D_police_fire,Population_Density,Average_Ridership,Defense_Posture,Threat_Level,Crime_Index,Attractiveness,D_nearest_police_name,D_nearest_fire_name,D_nearest_hospital_name
1,Airport,42.374328,-71.030238,0.3989490850421705,0.1736073553272038,0.0572761059106778,0.0599183577746997,0.1021835192907976,0.4434147693625814,0.0723027778191048,0.2260763832289229,0.1147615074398553,High,Medium,0.1776797191305114,0.1731584150059347,Mass State Police Patrol,360 Saratoga St,Shriners Burns Institute
2,Alewife,42.395426,-71.142478,0.1863734117148368,0.0,0.0008826706907517,0.2959772515738481,0.4897257964165518,0.5702181007219626,0.352748911168959,0.2599056920277238,0.0718838362768275,Low,Medium,0.1398163347507581,0.2261219391298216,Tufts University Police Department,460 Cambridge St,St. Elizabeth's Hospital
3,Allston Street,42.3487252,-71.13801669,0.4046662711508628,0.2006489994591671,8.706727295707599e-07,0.0792779719895345,0.0921635657757431,0.0641592223468192,0.083053672832632,0.3443461255428207,0.0124113475177304,Medium,Medium,0.3109179700851878,0.1813772227832385,Boston Police District D-14 Brighton/ Allston,460 Cambridge St,Kindred Hospital
4,Andrew,42.330153,-71.057656,0.3253099074177688,0.2785289345592212,0.0486717964626916,0.1265161342333033,0.0915656423660185,0.1509073355424798,0.1162750383397466,0.2278837371829419,0.2015134659064571,Medium,High,0.4430064956464,0.3568803814743427,Municipal Police, ,Boston City Hospital
5,Aquarium,42.359793,-71.05159,0.3337238222959849,0.227149810708491,0.3854716328705933,0.0717564804432425,0.05018919084821,0.131652639006136,0.0654368932470011,0.3072214387160197,0.1346011217725861,High,High,0.5821066650707376,0.3416131841273737,Boston Police District A-1,125 Purchase St,Spaulding Rehabilitation Hospital
6,Arlington,42.35182125,-71.07096127,0.3396694990334094,0.8626284478096269,0.1258888574162576,0.0352585947863304,0.0302849343762006,0.0748429762999735,0.0338012266498378,0.2087268115951994,0.1919876697724007,High,High,0.772750863929441,0.3928686207291058,Emerson College Police Department,200 Columbus Ave,New England Medical Center
7,Ashmont,42.284454,-71.063744,0.1878930553621864,0.0,0.0004145804913004,0.1369969732280925,0.034588618842393,0.0557725503042826,0.1069895621293383,0.1441210008213037,0.0537709173503916,Medium,Medium,0.2808899829972829,0.1856126318769021,Boston Police District C-11 Dorchester,1884 Dorchester Av,Carney Hospital
8,Assembly,42.392737,-71.077276,0.4045297776289885,0.0892374256354785,0.0202821302179156,0.2181730903121312,0.1352587629123796,0.4240655751130823,0.1938777647677879,0.143710027936835,0.1277522829462754,Low,Low,0.0197367838030796,0.1460366377956479,Somerville Police Department,525 Main St,Spaulding Rehabilitation Hospital
9,Babcock Street,42.35184066,-71.12183062,0.4045590161026517,0.3034072471606273,1.9452443934244928e-05,0.0255509384458662,0.099468992480109,0.1757051104363274,0.0472102009965706,0.2448696304475793,0.02420850136745,High,Medium,0.2214206676226032,0.1181101577681473,Boston University Police Department,460 Cambridge St,Beth Israel Deaconess Medical Center West Cam
10,Back Bay,42.347403,-71.075566,0.3976686007546388,0.2006489994591671,0.047193413173888,0.0498889695050898,0.0653623499223609,0.1112938941877606,0.0544229363875154,0.2418649082478838,0.2148750753256385,High,High,0.8802944374264459,0.4394397989714666,Amtrak Police Department,200 Columbus Ave,New England Medical Center
