X,Y,OBJECTID_1,OBJECTID,BFD_ID,MAP_ID,MAPCODE,LOCCODE,LOCDEPT,LOCNAME,LOCCONTACT,LOCPHONE,LOCSTNO,LOCADDR,LOCOWNER,LOCWARD,LOCPARCL,LOCPRECT,LOCPLAN,STUDY,ABOVE,ABOVE_DESC,SOURCE,GEOADDRESS,PD,CT90,XCOORD,YCOORD,Longitude,Latitude
781311.1625,2947427.652,1,2,2,068,2,000,BFD,"Engine CO. 2, 19",Cptn. Bruynell,725-2802,700,East 4th Street,BFD,06,00000, ,F,T,3,"(2)275g Diesel, (1)1000g FO",FP,700 East 4th Street,South Boston,603,71037270,42334683,-71.03715188,42.334960298570216
772799.1879,2949169.483,2,3,3,071,2,002,BFD,Engine CO. 3,Cptn. Reynolds or Yanovitch,338-9018,618,Harrison Ave,BFD,08,00000, ,F,T,0, ,FP,618 Harrison Ave,South End,712,71069485,42339757,-71.06860036,42.33986237
773549.8133,2956815.725,3,4,4,036,2,003,BFD,"Engine CO. 4, 24",Ltnt. Borden,725-2804,200,Cambridge St,BFD,03,00000, ,F,T,1,(1)500g diesel,FP,200 Cambridge St,Back Bay/Beacon Hill,202,71066570,42361100,-71.06567999,42.36083339221128
783091.806,2963527.097,4,5,5,053,2,004,BFD,Engine CO. 5,Ltnt. Bancroft,725-2805,360,Saratoga St,BFD,01,00507, ,F,T,1,(1)990g FO Basement,P,360 Saratoga St,East Boston,502,71031395,42378743,-71.03023835,42.37911069364538
772137.8421,2952465.213,5,7,7,040,2,005,BFD,"Engine CO. 7, 17",Ltnt. Creamer,725-2807,200,Columbus Ave,BFD,05,00000, ,F,T,1,(1)500g Diesel,FPA,200 Columbus Ave,Boston,703,71072396,42348486,-71.07098519,42.34891510294737
776928.3545,2958632.815,6,8,8,041,2,006,BFD,"Engine CO. 8, 1",Ltnt. Bob Kavanagh,725-2808,392,Hanover St,BFD,03,00000, ,F,T,3,(3)250g Diesel,P,382 Hanover St,Boston,304,71053800,42365770,-71.05314433,42.36577162758439
780822.856,2959482.103,7,9,9,054,2,007,BFD,"Engine CO. 9, 2",Cptn. Bishop,725-2809,239,Sumner St,BFD,01,00000, ,F,T,0, ,FP,241 Sumner St,East Boston,504,71039161,42368128,-71.03871674,42.36804519406494
769105.208,2945132.214,8,14,14,065,2,008,BFD,"Engine CO. 14, 4",Cptn. Mckenna,725-2814,174,Dudley St,BFD,08,00000, ,F,T,0, ,FP,174 Dudley St,Roxbury,804,71083008,42328367,-71.08233653,42.32883441585982
770156.5027,2926702.278,9,16,16,061,2,009,BFD,Engine CO. 16,Cptn Santiano,725-2816,9,Gallivan Blvd,BFD,17,00000, ,F,T,0, ,FPA,9 Gallivan Blvd,Mattapan,1009,71079859,42278446,-71.07878532,42.27824749746493
774751.6713,2937465.887,10,17,17,046,2,010,BFD,"Engine CO. 17, 7",Ltnt. Flaherty,725-2817,7,Parish St,BFD,15,00000, ,F,T,1,(1)275g Diesel,FD,7 Parish St,Dorchester,916,71062882,42307980,-71.06160115,42.30771992677654
774182.8697,2929727.284,11,18,18,047,2,011,BFD,"Engine CO. 18, 6",Cptn. Keely,725-2818,1884,"Dorchester Ave, Peabody Sq
",BFD,16,06503, ,F,T,0, ,FP,1884 Dorchester Av,Dorchester,1008,71064420,42286427,-71.06385021,42.28649277911036
778509.0731,2930509.989,12,20,20,048,2,012,BFD,Engine CO. 20,Ltnt. Leo Reardon,725-2820,301,Neponset Ave,BFD,16,01003, ,F,T,0, ,FPA,301 Neponset Ave,Dorchester,1006.02,71047748,42288696,-71.04784692,42.28857875079776
774296.6234,2941322.14,13,21,21,049,2,013,BFD,Engine CO. 21,Ltnt. Riley,725-2821,641,Columbia Rd,BFD,07,00000, ,F,T,4,"(3)275g FO, (1)275 Diesel",FP,641 Columbia Rd,Dorchester,912,71064080,42318280,-71.06321039,42.31830806381175
