Station,Latitude,Longitude,Address,POI
Boston Police District D-14 Brighton/ Allston,42.34916666666667,-71.15027777777779,"301 Washington St, Brighton, MA 02135",Hospital
Boston College Police Headquarters,42.33638888888889,-71.16722222222222,"Chestnut Hill, MA 02467",University
Boston University Police Department,42.352222222222224,-71.11861111111111,"32 Harry Agganis Wy, Boston, MA 02215",University
Brookline Police Department,42.33361111111111,-71.1211111111111,"350 Washington St, Brookline, MA 02445",
Boston Police District E-13 Jamaica Plain,42.31027777777778,-71.1036111111111,"3345 Washington St, Jamaica Plain, MA 02130",City park
Boston Police District B-3 Mattapan/ North Dorchester,42.28472222222222,-71.09138888888889,"1165 Blue Hill Ave, Boston, MA 02124",
Boston Police District C-11 Dorchester,42.29805555555556,-71.05888888888889,"40 Gibson St, Dorchester, MA 02122",High crime neighborhood
Boston Police Department,42.318333333333335,-71.08083333333333,"364 Warren St, Boston, MA 02119",
Boston Police Headquarters,42.33416666666667,-71.09027777777777,"1 Schroeder Plaza, Boston, MA 02120",
Harvard University Police,42.336111111111116,-71.10111111111111,"180 Longwood Ave, Boston, MA 02115",Hospital
Boston Police District B-2 Roxbury,42.328611111111115,-71.08527777777778,"2400 Washington St, Roxbury, MA 02119",High crime neighborhood
Northeastern University Police Department,42.337500000000006,-71.085,"Columbus Place and Alumni Center, 716 Columbus Ave, Boston, MA 02120",University
BERKLEE COLLEGE POLICE DEPARTMENT,42.34638888888889,-71.08749999999999,"155 Massachusetts Ave, Boston, MA 02115",Sports center
Amtrak Police Department,42.347500000000004,-71.07472222222222,"145 Dartmouth St, Boston, MA 02116",Rail Station
Boston Police District D-4 Back Bay/ South End/ Fenway,42.339444444444446,-71.06888888888888,"650 Harrison Ave, Boston, MA 02118",
Municipal Police,42.340833333333336,-71.0611111111111,"400 Frontage Rd #11, Boston, MA 02118",Rail Station
Boston Police District C-6 South Boston,42.34111111111111,-71.05472222222222,"101 W Broadway, South Boston, MA 02127",
Boston Police Harbor Patrol,42.343611111111116,-71.03666666666666,"South, 9 Terminal St, Boston, MA 02210",Harbor
Massachusetts Port Authority Police Department,42.35138888888889,-71.0375,"33 Boston Fish Pier, Boston, MA 02210",
Amtrak Police Department2,42.35,-71.05527777777777,"700 Atlantic Ave, Boston, MA 02111",Rail Station
Commonwealth-Mass Joann Gora,42.35916666666667,-71.06444444444445,"8 Myrtle St, Boston, MA 02114",Downtown
Boston Police District A-1,42.361666666666665,-71.06027777777777,"40 Sudbury St, Boston, MA 02114",
Suffolk University Police Department,42.36083333333333,-71.06416666666667,"148 Cambridge St, Boston, MA 02114",University
Massachusetts State Police Dept,42.36666666666667,-71.06833333333333,"250 Leverett Cir, Boston, MA 02114",
Suffolk County Sheriffs Department,42.367222222222225,-71.06583333333333,"200 Nashua St, Boston, MA 02114",Sports center
Somerville Police Department,42.37916666666667,-71.09222222222222,"220 Washington St, Somerville, MA 02143",University
Police Department-Commissioners Office,42.3675,-71.08638888888889,"125 6th St, Cambridge, MA 02142",
MIT Police Department,42.35444444444445,-71.10416666666666,"565 Memorial Dr, Cambridge, MA 02139",University
Everett Police Department,42.4125,-71.04416666666667,"45 Elm St, Everett, MA 02149",
Malden Police Department,42.43,-71.04666666666667,"800 Eastern Ave, Malden, MA 02148",
Medford Police Department,42.41555555555556,-71.11,"100 Main St, Medford, MA 02155",
Tufts University Police Department,42.40861111111111,-71.11777777777777,"Dowling Hall, 419 Boston Ave, Medford, MA 02155",University
Revere Police Department,42.401666666666664,-70.99972222222222,"400 Revere Beach Pkwy, Revere, MA 02151",
Mass State Police Patrol,42.37555555555556,-71.02805555555555,"2 Service Rd, East Boston, MA 02128",Airport
Boston Police District A-7 East Boston,42.37083333333334,-71.03833333333333,"69 Paris St, East Boston, MA 02128",Municipal courthouse 
Watertown Police Department,42.37138888888889,-71.20055555555555,"552 Main St, Watertown, MA 02472",
Newton Police Department,42.349444444444444,-71.2275,"1321 Washington St, Newton, MA 02465",
Emerson College Police Department,42.352222222222224,-71.06527777777778,"114 Boylston St, Boston, MA 02116",City park
Boston Police Department2,42.37638888888889,-71.05583333333333,"20 Vine St, Boston, MA 02129",Harbor
